"name","score","summary","recommended","ts-score","rwd","date","site"
"Kif","Bib Gourmand","Adorable bohemian spot in Brooklyn with sexy velvet banquettes, billowing linens draped from the ceiling, and a leafy outdoor garden?creative, exotic, and fresh.","1) Zaalok, 2) Eggplant Puree, 3) Grilled Sausage",10,"R",2010-10-01,3
"Kin Shop",,,,,,2010-10-01,3
"Kingswood",,,,,,2010-10-01,3
"Kittichai",,,,,,2010-10-01,3
"Koi",,,,,,2010-10-01,3
"Kunjip",,,,,,2010-10-01,3
"Kyo Ya","*","You'll find Chef Chikara Sono's mouthwatering kaiseki, a series of haute cuisine small plates traditionally served ith Japanese tea?You'll want to plan ahead, as the chef's tasting menu here requires two days notice?the a la carte menu is a no-miss with a welth of rotating, seasonal goodies.","1) Kaiseki Tasting Menu",8,"R",2010-10-01,3
"La Bottega",,,,,,2010-10-01,3
"La Esquina",,,,,,2010-10-01,3
"La Fonda del Sol",,,,,,2010-10-01,3
"La Grenouille",,,,,,2010-10-01,3
"La Lucha",,,,,,2010-10-01,3
"La Paella",,,,,,2010-10-01,3
"La Pizza & Pasta",,,,,,2010-10-01,3
"La Ripaille",,,,,,2010-10-01,3
"Lamazou",,,,,,2010-10-01,3
"Landmarc",,,,,,2010-10-01,3
"L'Artusi",,,,,,2010-10-01,3
"L'Atelier de Joel Rubuchon","*","Expect nothing less than impeccable service and scrumptious haute cuisine dished up in a luxurious atmosphere?The power crowd still comes in droves, so dress to impress.","1) Foie Gras Ravioli, 2) Caramelized Quail, 3) Yuzu Souffle ",8,"R",2010-10-01,3
"Laut ","*","A hot Malaysian joint?the chef's devotion to the country's complex cuisine absolutely shines, and each and every bite is a revelation.","1) Pasembur, 2) Roti Telur, 3) Assam Laksa",8,"R",2010-10-01,3
"Le Bernardin","***","Ripert is a master of seafood, and his understanding of fish combined with his French technique makes for an unforgettable meal.","1) Grilled Escolar with chaoyte, fried lotus root chips and creamy shrimp sambal sauce 2) Baked Lobsster with truffled foie gras stuffing",10,"R",2010-10-01,3
"Le Cirque",,,,,,2010-10-01,3
"Le Colonial",,,,,,2010-10-01,3
"Le Verdure",,,,,,2010-10-01,3
"L'Ecole","Bib Gourmand","This fun, virtual classroom (courtesy of the French Culinary Institute), provides students their first opportunity to show their expertise.",,10,"R",2010-10-01,3
"Les Halles","Bib Gourmand","Anthony Bourdain may have put this beloved brasserie (his alma mater) on the map, but the simple, unfussy French cooking is the true draw.  This is the rare spot renowned for skillfully knowing how to leave French classics untouched, unmodernized, and absolutely delicious.","1) Brioche French Toast, 2) Cassoulet",10,"R",2010-10-01,3
"L'Express",,,,,,2010-10-01,3
"Lil' Frankie's","Bib Gourmand","Dinnertime always seems like a party at this offshoot of the ever-popular Frank.","1) Naples-style pizza with sausage and wild fennel",10,"R",2010-10-01,3
"Lincoln",,,,,,2010-10-01,3
"Little Giant",,,,,,2010-10-01,3
"Little Owl",,,,,,2010-10-01,3
"Little Pepper","Bib Gourmand","You don't go to Little Pepper for the ambience.  With only a handful of clean tables and a small fridge stacked with beer and soda to call decore, this Flushing restaurant is all about sichuan food.","1) Ox Tripe, 2) Spicy Chicken with chili and peanuts, 3) Lamb with cumin and chili",10,"R",2010-10-01,3
"Locanda Verde",,,,,,2010-10-01,3
"Lombardi's",,,,,,2010-10-01,3
"Los Feliz",,,,,,2010-10-01,3
"Lotus of Siam",,,,,,2010-10-01,3
"Lucali",,,,,,2010-10-01,3
"Luke's Lobster",,,,,,2010-10-01,3
"Lupa","Bib Gourmand","While the consistently good food is the main reason why this Roman trattoria continues to attract masses, Lupa's casual excellence and convivial attitude contribute to its appeal.","1) Baccala, 2) Pastas, 3) Rabbit Sausage",10,"R",2010-10-01,3
"Lure Fishbar",,,,,,2010-10-01,3
"M and T Restaurant","Bib Gourmand","The d?cor - Spartan.  The menu - vast and confusing.  The cuisine - oh the cuisine - outstanding?Skip straight to the terrific specials.","1) Kidney with Veggies, 2) Beef Tendons with Shrimp",10,"R",2010-10-01,3
"Ma Peche",,,,,,2010-10-01,3
"Macao Trading Co.",,,,,,2010-10-01,3
"Macondo",,,,,,2010-10-01,3
"Maialino",,,,,,2010-10-01,3
"Malatesta",,,,,,2010-10-01,3
"Mama Mexico",,,,,,2010-10-01,3
"Manzo",,,,,,2010-10-01,3
"Mapo Tofu","Bib Gourmand","Sumptuous Sichuan?Expert marriage of spices?Genius lcale and superior spread.","1) Conch, 2) String beans with bamboo shoots and pork, 3) Braised fish, tofu, and noodles, 4) Dan Dan Noodles with Pork, 5) Prawns with salt and Sichuan Peppercorns",10,"R",2010-10-01,3
"Marc Forgione","*","Inside, it's the perfect representation of countrified chic?it's all very laidback in that sophisticated and studied way?Forgione ramps up modern American cuisine?it's all top-notch.","1) Suckling Pig, 2) Cuttlefish, 3) Freshly baked potato rolls",8,"R",2010-10-01,3
"Marea","**","Gorgeous Italian seafood?Thank the stars above...Marea is a flat-out stunner.","1) Grilled Octopus with smoked potato, pickled red onion, and a drizzle of chili oil. 2) Gnocchetti with ruby red schrimp, bean puree and rosemar 3) Branzino with walnut agrodolce and roasted radicchio",9,"R",2010-10-01,3
"Markt",,,,,,2010-10-01,3
"Marlow and Sons","Bib Gourmand","At night, the atmosphere takes on the role of packed to the rafters foodie pleasure den replete with shabby-chic furnishings and dusky lighting.  The concise menu is all about quality not quantity.","1) Spaghetti with Mustard greens, 2) Brick Chicken, 3) Maple Custard",10,"R",2010-10-01,3
"Mary's Fish Camp",,,,,,2010-10-01,3
"Mas (farmhouse)",,,,,,2010-10-01,3
"Masa","***","Welcome to the game changer?you'll find a beautiful, soothing Zen-like temple of blonde wood and stone, where a smart but completely unhurried staff sets the tone for the brilliant parade of fish and extraordinar ingredients to come.","1) Japanese hairy crab with flower petals, 2) Toro tartare with caviar, chives, and yuzu, 3) Sea Urchin risotto with white truffle",10,"R",2010-10-01,3
"Matsugen",,,,,,2010-10-01,3
"Matsuri",,,,,,2010-10-01,3
"Max",,,,,,2010-10-01,3
"Maya",,,,,,2010-10-01,3
"Maze",,,,,,2010-10-01,3
"mehtaphor",,,,,,2010-10-01,3
"Mercadito",,,,,,2010-10-01,3
"Mercat",,,,,,2010-10-01,3
"Mercato","Bib Gourmand","The vibe is decidedly rustic? All the beter to settle in for a luscious glass of red wine and get things started.","1) Tiella with mussles, tomatoes, rice, and potatoes 2) Panna cotta with aged balsamic vinegar",10,"R",2010-10-01,3
"Mermaid Oyster Bar",,,,,,2010-10-01,3
"Mesa Coyoacan","Bib Gourmand","It's not just the swank interiro, fitted out in richly-patterned wallpapers, snug banquettes, and two long communal tables, but the mouthwatering Mexican food.","1) Sacos with Suadero, 2) Chicken Enchiladas, 3) Chiles en Nogada",10,"R",2010-10-01,3
"Mexicana Mama",,,,,,2010-10-01,3
"Mexico Lindo",,,,,,2010-10-01,3
"Mike's Bistro",,,,,,2010-10-01,3
"Mile End",,,,,,2010-10-01,3
"Minetta Tavern","*","Once you do make it into this lair of cool, you'll find a charming, knowledgeable waitstaff; a dedicated kitchen; and an irresistibly fun atmosphere?the gastropub menu turns out spot-on versions of the bistro staples.","1) Burger, 2) Steak, 3) Souffle, 4) Watercress Soup, 5) Pig's Trotter",8,"R",2010-10-01,3
"Modern (The)","*","Gabriel Kreuther paints an inventive picture of perfection in his kitchen, where everything is at its height of flavor and freshness?Flawless, well-orchestrated servers complete the picture.","1) Mrocilla Sausage Risotto with green apple and Maine lobster 2) Slow-baked salmon with horseradish and pickled ramps",8,"R",2010-10-01,3
"Mole",,,,,,2010-10-01,3
"Momofuku Ko","**","Is it worth the fuss? Yes?And then there's the food.  A sense-jogging trip through the strange hollows of David Chang's mind is like extreme dinner theater.","1) Grated foie gras over lychee, riesling gelee, pine nut brittle 2) Seared Muscovy Duck Breast with mustard greens, turnips, and pate 3) Panna Cotta with salty pretzel",9,"R",2010-10-01,3
"Momofuku Milk Bar ",,,,,,2010-10-01,3
"Momofuku Noodle Bar","Bib Gourmand","Momofuku's gutsy menu is fashioned with Asian street food in mind?join the devotees slurping noodles elbow-to-elbow.","1) Steamed buns of chicken, shiitake, and pork 2) Order-in-advance Fried Chicken feast.",10,"R",2010-10-01,3
"Momofuku Ssam Bar","Bib Gourmand","Chef David Chang somehow always manages to wow the taste buds of even the most jaded foodies.  At this culinary playground, he offers an exuberant contemporary menu so far-reaching that it somehow all makes sense.","1) Steamed Pork Buns 2) Cracked Crab Claws 3) Sichuan Beef Tendon",10,"R",2010-10-01,3
"Morandi's",,,,,,2010-10-01,3
"Morimoto",,,,,,2010-10-01,3
"Motorino","Bib Gourmand","This upscale pizzeria draws in a steady flow of passers-by with its seductive aroma of wood-oven baked pies?Che/owner Mathieu Palombino is trained in Italy and officially certified by the Verace Piza Napoletana.","1) Seasonal Pizza, 2) Octopus, 3) Beet Salad",10,"R",2010-10-01,3
"Muzzarella Pizza",,,,,,2010-10-01,3
"Nam",,,,,,2010-10-01,3
"Naya",,,,,,2010-10-01,3
"Nobu",,,,,,2010-10-01,3
"Norma's",,,,,,2010-10-01,3
"Northern Spy Food Co.","Bib Gourmand","Chef Nathan Q. Foot?now displays the fuss-free sensibilities for which [San Francisco] is renowned in this market-driven menu highlighting the finest producers in the Northeast and Mid-Atlantic.","1) Kale Salad with artisanal cheddar, squash, and lemon vinaigrette 2) Pastured Pork with mascarpone gnocchi 3) Apple Pie",10,"R",2010-10-01,3
"Nougatine",,,,,,2010-10-01,3
"Novita",,,,,,2010-10-01,3
"Nuela",,,,,,2010-10-01,3
"Nyonya","Bib Gourmand","Nyonya is replete with regulars and City Hall suits?But keep faith, as they hold the keys to some magnificent Malaysian.","1) Oyster Omlette, 2) Beef Satay, 3) Crab with Chili",10,"R",2010-10-01,3
"OBAO","Bib Gourmand","Contemporary urban feel...while the Vietnamese dishes are the strongest","1) Pho, 2) Spare Rib, 3) Laos Beef Salad",10,"R",2010-10-01,3
"Ocean Grill",,,,,,2010-10-01,3
"Oceana","*","Possibly feeding off their slick new digs, the service staff doesn't miss a beat, pacing a meal with the exacting precision of a well-tuned orchestra.  Seafood still reigns supreme.","1) Fresh snapper ceviche with blood orange, pistachios, red chilies 2) Pan Seared Calamari stuffed with seafood sausage over  swiss chard 3) Green Apple Risotto with Parmigiano Reggiano",8,"R",2010-10-01,3
"Old Town Bar",,,,,,2010-10-01,3
"Olio Pizza e Piu",,,,,,2010-10-01,3
"Omen",,,,,,2010-10-01,3
"Oriental Garden",,,,,,2010-10-01,3
"Osteria Morini",,,,,,2010-10-01,3
"Otto",,,,,,2010-10-01,3
"Ouest",,,,,,2010-10-01,3
"Palm",,,,,,2010-10-01,3
"Pampano",,,,,,2010-10-01,3
"Paprika",,,,,,2010-10-01,3
"Park Avenue Bistro","Bib Gourmand","Classic bistro favorites are the strength of this cheerful and immaculately shiny spot.","1) Frisee and duck salad, 2) Coq au vin, 3) Apple Tart",10,"R",2010-10-01,3
"Patroon",,,,,,2010-10-01,3
"Paulie Gee's","Bib Gourmand","Rustic in appearance?warmed by the glow of the wood-burning pizza oven imported from Naples?The addictive crust is beguilingly moist and chewy, perfumed with smoke, adroitly salted.","1) Arugula Shmoogala, 2) Baconmarmalade Picante",10,"R",2010-10-01,3
"Pearl Oyster Bar",,,,,,2010-10-01,3
"Peasant",,,,,,2010-10-01,3
"Peels",,,,,,2010-10-01,3
"Penelope",,,,,,2010-10-01,3
"Per Se","***","There's no razmatazz at Per Se to distract you from the divinity on your plate; only pitch-perfect service and a classically beautiful dining room overlooking Central Park.  Three tasting menus are offered nightly, each one a mind-blowing affair.","1) Ricotta Agnolotti with Oregon Morels and English Peas 2) Butter-Poached Lobster mitts with tomato marmalade, cipollini tempora and romaine",10,"R",2010-10-01,3
"Periyali",,,,,,2010-10-01,3
"Perry Street",,,,,,2010-10-01,3
"Persephone",,,,,,2010-10-01,3
"Peter Luger","*","If it seems like you hav to flag down the somewhat indifferent all-male waitstaff - well try to take it as a natural extension of the clanking beer hall atmosphere.  The steak is well worth it.","1) Porterhouse, 2) Freshly Ground Burger (lunch only) 3) Cheesecake",8,"R",2010-10-01,3
"Phoenix Garden","Bib Gourmand","You can't take the Cantonese out of this midtown favorite - which serves up authentic dishes at a great value.","1) Peking Duck, 2) Chive Dumplings, 3) Sauteed Snow Peas",10,"R",2010-10-01,3
"Pianos",,,,,,2010-10-01,3
"Picholine","**","If you're going to splurge, this is a great place to do it?The seasonal menu is tantalizing and may reveal gems.","1) Baby Arugula with fava beans, pecorino, and ham over a bechamel croquette 2) Rabbit Loin in riduction with cipollini onions and spatzle ",9,"R",2010-10-01,3
"Pies 'n' Thighs",,,,,,2010-10-01,3
"Pinche Taqueria",,,,,,2010-10-01,3
"Pipa",,,,,,2010-10-01,3
"PJ Clarke's",,,,,,2010-10-01,3
"Pomodoro Rosso",,,,,,2010-10-01,3
"Popover Cafe",,,,,,2010-10-01,3
"Porchetta",,,,,,2010-10-01,3
"Porter House New York",,,,,,2010-10-01,3
"Prime Meats","Bib Gourmand","From the Franks (of Frankies 457 Spuntino) comes this neighborhood darling?perfect scene for throngs of Brooklyn foodies lining the seat-less bar.","1) Weisswurst",10,"R",2010-10-01,3
"Prune","Bib Gourmand","The popularity of this endearing breadbox of a restaurant never seems to fade?Gabrielle Hamilton has impressed serious diners since 1999?The Chef's signature style shines through in items that are fuss-free yet display an undeniable level of skill and talent.","1) Tasmanian Sea Trout with frisee 2) Lime custard with oatmeal shortbread",10,"R",2010-10-01,3
"Public","*","The quintessential neighborhood restaurant and very definition of casual chic?Perfectly matching it's laidback looks, the food is simple, unfussy, and fabulous.","1) Scallops, 2) Swordfish, 3) Venison",8,"R",2010-10-01,3
"Pulino's Bar and Pizzeria",,,,,,2010-10-01,3
"Pure Food and Wine",,,,,,2010-10-01,3
"Pylos",,,,,,2010-10-01,3
"Quality Meats",,,,,,2010-10-01,3
"Quartino",,,,,,2010-10-01,3
"Quinto Quarto","Bib Gourmand","Its enticingly rustic menu is served in an intimate setting that beams warmth.","1) Bucatini all'amatriciana, 2) Bone-In Rabbit, 3) Crostatas",10,"R",2010-10-01,3
"Rai Rai Ken",,,,,,2010-10-01,3
"Ramen Setagaya",,,,,,2010-10-01,3
"Raoul's",,,,,,2010-10-01,3
"Recette",,,,,,2010-10-01,3
"Red Egg","Bib Gourmand","Where are the grandchildren of Chinese immigrants eating?...One of the best and brightest is Red Egg?think SoHo style with lesser cocktails but better food.","1) Dim Sum",10,"R",2010-10-01,3
"Reservoir",,,,,,2010-10-01,3
"Resto",,,,,,2010-10-01,3
"River Cafe","*","Resting along the water, you'll find a perfect cap to the day in River Caf? - where guests (hopefully in jackets after 5:00pm) can meander through gardens, soak in the mind-boggling views?and dig into delicious contemporary fare.","1) Peekytoe Crab Soup, 2) Branzino",8,"R",2010-10-01,3
"Robataya","Bib Gourmand","A front room with a 26-seat counter ined with salivating diners and platter of ultra-fresh vegetables, fish, and meats to be grilled and served.","1) Eggplant, 2) Yuba Gyoza",10,"R",2010-10-01,3
"Rosa Mexicano",,,,,,2010-10-01,3
"Rouge Tomate","*","This gustatory temple of healthy living makes green living and eating so simple - and still so good?Blending the healthy know-how of a nutritionist with masterful techniques and talent, Rouge Tomate serves a tasty farm-to-table cuisine that is driven by a commendable philosophy...This healthful cuisine is quietly calorie-conscious and infinitely enjoyable.","1) Walu Ceviche, 2) Duck with Pistachio-Rhubarb Vinaigrette",8,"R",2010-10-01,3
"Royale",,,,,,2010-10-01,3
"Rubirosa",,,,,,2010-10-01,3
"Ruby's Cafe",,,,,,2010-10-01,3
"Rusty Knot",,,,,,2010-10-01,3
"Rye","Bib Gourmand","The succinct menu of snacks and grilled items boasts clssic touches that reflect the kitchen's talents and skill.","1) Gnocchi, 2) Pan-Roasted Halibut, 3) Fudgy Chocolate Cake",10,"R",2010-10-01,3
"Rye House",,,,,,2010-10-01,3
"Sagaponack",,,,,,2010-10-01,3
"Sala 19",,,,,,2010-10-01,3
"Salume",,,,,,2010-10-01,3
"Saravanaas","Bib Gourmand","Simple, clean contemporary d?cor?The menu embraces a contemporary reflection of time-honored Southern Indian dishes?You'll never miss the meat.","1) Thalis, 2) Dosas",10,"R",2010-10-01,3
"Saul","*","Be sure to set aside a few hours for a  meal at Saul, a charming, brick-lined restaurant with pressed-tin ceilings, and hardwood floors.  Co-owner and chef Saul Bolton?brought intricate technique and pristine seafood across the river with him.","1) Sardines with Eggplant, 2) Roasted Farm Chicken, 3) Apple Cake",8,"R",2010-10-01,3
"Scarpetta",,,,,,2010-10-01,3
"Schiller's Liquor Bar",,,,,,2010-10-01,3
"Seasonal","*","Turning staid German-Austrian food on its conventional little bum?The service is impressive and adds a layer of formality to the arena.","1) Wiener Schnitzel, 2) Smoked Trout, 3) Kaisergulasch.",8,"R",2010-10-01,3
"Seo","Bib Gourmand","Draws as many faithful locas as it does weekend adventurers looking for the real deal.  Thus, it's best to make reservations early.  ","1) Eel and Cucumber Salad, 2) Broiled Cod, 3) Chawanmushi",10,"R",2010-10-01,3
"Sette Enoteca and Cucina","Bib Gourmand","Excellent Park Slope Italian gem is popular with most everyone.","1) Fritto Misto, 2) Pappardelle with Lamb, 3) Grilled Salmon with Arugula.",10,"R",2010-10-01,3
"Sfoglia",,,,,,2010-10-01,3
"Shake Shack",,,,,,2010-10-01,3
"Shalezeh","*","A relaxing mini-vacation to Persia.  Now if only Shalezeh's sometimes harried staff would get the memo.  You'll need it to comb through the menu's impossibly long dish titles, but the good news is all of them translate deliciously.","1) Dolmas, 2) Baba with goat cheese, 3) Koofteh Tabrizi",8,"R",2010-10-01,3
"Shang",,,,,,2010-10-01,3
"Sho Shaun Hergatt","*","Hergatt plays off his classical training, pulling notes from his Australian heritage and infusing a wealth of Asian accents (think kaffir lime, galangal, and lychee) into his contemporary cooking.  The sleek, enormous space features an infinity pool, a wine gallery, and a smattering of private dining rooms.","1) Seafood salad, 2) Rabbit loin, ",8,"R",2010-10-01,3
"Sigiri",,,,,,2010-10-01,3
"Sip Sak","Bib Gourmand","Is now the picture of a Parisian bistro?Top-notch, classic Turkish food, perhaps the best in the city.","1) Borek, 2) Pacangas, 3) Manti, 4) Lamb Adana",10,"R",2010-10-01,3
"Smile (the)",,,,,,2010-10-01,3
"Snack","Bib Gourmand","Those lucky enough to snag one of the four dining room tables will find Hellenic fare authentic enough to transport them at first bite.","1) Lamb Sandwich, 2) Greek Salad.",10,"R",2010-10-01,3
"Soba - Ya","Bib Gourmand","Has been sating noodle cravings with awesome buckwheat soba and hearty udon - all homemade daily - for more than a decade.  ","1) Cold Soba, 2) Glazed Salmon, 3) Shrimp Tempura",10,"R",2010-10-01,3
"Socarrat Paella Bar",,,,,,2010-10-01,3
"Sorella",,,,,,2010-10-01,3
"Soto","**","Its quiet existence underscores its status as one of the city's hidden treasures.  Inside it's Zen personified?Those in the know nab a counter seat to view the culinary ballet?Enthusiasm for this spot may vere on hero worship, but after a few bites, it's easy to see why.","1) Omakase",9,"R",2010-10-01,3
"Sparks",,,,,,2010-10-01,3
"Spice Market",,,,,,2010-10-01,3
"Spitzers",,,,,,2010-10-01,3
"Spotted Pig","*","Chef April Bloomfield's one-of-a-kind upscale gastrofare?And if the food alone didn't seal the deal, the authentic good looks of this Greenwich Village charmer?certainly did.  Here's the caveat: most nights of the week, you'll still find an insanely long wait time.  ","1) Deviled Eggs, 2) Gnudi, 3) Roquefort Burger",8,"R",2010-10-01,3
"Sripraphai",,,,,,2010-10-01,3
"Standard Grill (The)",,,,,,2010-10-01,3
"Stanton Social",,,,,,2010-10-01,3
"Strip House",,,,,,2010-10-01,3
"Stuzzicheria",,,,,,2010-10-01,3
"Supper","Bib Gourmand","Has a truly convivial vibe that seems impossibly effortless?impressive, classic Italian cooking is Supper's specialty","1) Panzanella, 2) Tagliatelle Bolognese",10,"R",2010-10-01,3
"Surya","Bib Gourmand","Superb kitchen and service staff.  Surya's menu?with focused selections to please both vegetarians and meat lovers alike.","1) Naan, 2) Tandoori Dishes, 3) Meen Kolambu",10,"R",2010-10-01,3
"Sushi Azabu","*","There is no outside sign to mark the restaurant, and you have to make your way through the bustling Greenwich Grill to get to the basement location.  It's a particularly pleasing aesthetic to enjoy early in the evening, before the see-and-be-seen crowd descends on the place. ","1) Omakase",8,"R",2010-10-01,3
"Sushi of Gari","*","Omakase please: such a simple pair of words, and yet they begin a most extraordinary odyssey into the world of avant sushi chef, Masatosih ""Gari"" Sugio?The simplicity of the restaurant won't alert you to the cost, so be prepared to pay a bit for paradise.","1) Omakase",8,"R",2010-10-01,3
"Sushi Seki",,,,,,2010-10-01,3
"Sushi Yasuda",,,,,,2010-10-01,3
"Szechuan Gourmet","Bib Gourmand","Despite the exquisite pain inflicted by their wok tossed green chilies, legions line up for more of Szechuan Gourmet's spicy, tasty, and authentic delicacies.","1) Tofu Crepes with Shiitakes, 2) Lamb with Cumin and Chilies, 3) Bass Fillets",10,"R",2010-10-01,3
"Taboon",,,,,,2010-10-01,3
"Taco Taco","Bib Gourmand","With prices as palatable as the food?the tacos alone are worth a visit.","1) Puerco Enchilado, 2) Pollo Asado, 3) Chiles Rellenos",10,"R",2010-10-01,3
"Takahachi",,,,,,2010-10-01,3
"Takashi",,,,,,2010-10-01,3
"Tamarind (22nd Street)",,,,,,2010-10-01,3
"Tamarind Tribeca",,,,,,2010-10-01,3
"Tanoreen","Bib Gourmand","Continues to impress with its extensive menu of Middle Eastern home-style specialties.","1) Pickled Vegetables, 2) Makdous, 3) Sujok, 4) Musakhan",10,"R",2010-10-01,3
"Tao",,,,,,2010-10-01,3
"Telepan",,,,,,2010-10-01,3
"Teodora",,,,,,2010-10-01,3
"Terroir Tribeca",,,,,,2010-10-01,3
"The Commodore",,,,,,2010-10-01,3
"The Fat Radish",,,,,,2010-10-01,3
"The Harrison",,,,,,2010-10-01,3
"The Lambs Club",,,,,,2010-10-01,3
"The Lion",,,,,,2010-10-01,3
"The Meatball Shop",,,,,,2010-10-01,3
"The Mermaid Inn",,,,,,2010-10-01,3
"The Redhead",,,,,,2010-10-01,3
"The Red Cat",,,,,,2010-10-01,3
"The Smith",,,,,,2010-10-01,3
"Thor",,,,,,2010-10-01,3
"Tia Pol",,,,,,2010-10-01,3
"Tipsy Parson",,,,,,2010-10-01,3
"Toloache",,,,,,2010-10-01,3
"Tomoe",,,,,,2010-10-01,3
"Tori Shin","Bib Gourmand","If you're new to yakitori?this is absolutely the place to try it - from its unassuming fa?ade to its mostly Japanese clientele?this is top-flight Japanese fare.","1) Chicken Skewers, 2) Omakase",10,"R",2010-10-01,3
"Torrisi Italian Specialties",,,,,,2010-10-01,3
"Tortilla Flats",,,,,,2010-10-01,3
"Totto Ramen",,,,,,2010-10-01,3
"Traif",,,,,,2010-10-01,3
"Travertine",,,,,,2010-10-01,3
"Tree",,,,,,2010-10-01,3
"Triomphe",,,,,,2010-10-01,3
"Turkish Kitchen","Bib Gourmand","A worthy destination for unique Turkish cuisine.  ","1) Zucchini Pancakes, 2) Manti",10,"R",2010-10-01,3
"Txikito",,,,,,2010-10-01,3
"Union Square Cafe",,,,,,2010-10-01,3
"Uva","Bib Gourmand","This rustic wine bar?is complemented by an upbeat vibe?The kitchen is equally adept at preparing more elegant edibles.","1) Polenta Tartufa, 2) Foccacia 3) Orange pound cake.",10,"R",2010-10-01,3
"Uvarara","Bib Gourmand","This kind of cozy bohemian charmer - with its killer wine list and deliciously honest cooking - wouldn't be nearly as cool in the city.","1) Pizetta, 2) Baked Gnocchi",10,"R",2010-10-01,3
"Vai",,,,,,2010-10-01,3
"Vandaag",,,,,,2010-10-01,3
"Via Quadronno",,,,,,2010-10-01,3
"Vida","Bib Gourmand","A luminous, immaculate, sun-yellow room, warmly serving food that further brightens this Staten Island find.","1) Corn Tortilla with Chimayo Chicken, 2) Black Beans, 3) Mushroom Bisque",10,"R",2010-10-01,3
"Viet Cafe",,,,,,2010-10-01,3
"Villa Mosconi",,,,,,2010-10-01,3
"Vinegar Hill House",,,,,,2010-10-01,3
"Walker's",,,,,,2010-10-01,3
"Wallse","*","Sunny good looks and neighborhood charisma alone don't create as loyal a following as Wallse has.  What really catapults this restaurant into the upper echelon is Gutenbrunner's masterful, but decidedly unfussy cuisine.","1) Potato Pancake with Lobster, 2) Pan-Seared Sea Bass, 3) Apfelstreusel",8,"R",2010-10-01,3
"Warren 77",,,,,,2010-10-01,3
"wd~50","*","Chef Wylie Dufresne earned his culinary stripes retooling New York's vision of molecular gastronomy with his strange and wonderful concoctions, spinning out dishes that challenge our preconceptions of texture, association, and taste.","1) Tomatillo and pine gazpacho, 2) Cider-Braised Iberico pork neck",8,"R",2010-10-01,3
"Westville",,,,,,2010-10-01,3
"White Slab Palace",,,,,,2010-10-01,3
"Wildwood Barbecue",,,,,,2010-10-01,3
"Wilfie and Nell",,,,,,2010-10-01,3
"Wogies",,,,,,2010-10-01,3
"Wolfgangs",,,,,,2010-10-01,3
"World Tong","Bib Gourmand","With its bland dining room and unadorned interior, this?gem gets right down to business by putting its money where its customers mouths would like to be - wrapped around some killer dim sum.  ","1) Sticky Rice dumplings in Lotus Leaves, 2) Shrimp Balls, 3) Spare Ribs with Black Bean sauce, 4) Soup Dumplings",10,"R",2010-10-01,3
"Yakitori Totto",,,,,,2010-10-01,3
"Yama",,,,,,2010-10-01,3
"Yerba Buena",,,,,,2010-10-01,3
"Zabb Queens","Bib Gourmand","You don't come for the d?cor, you come for the food?Delightful service and authentic fare.","1) Spare Rib Soup, 2) Sausage Salad, 3) Thai meatballs",10,"R",2010-10-01,3
"Zarela","Bib Gourmand","Dishing up authentic Mexican fare since the late eighties.  Happy hour finds the bar flooded with a young, spirited corwd.","1) Cochinita Pibil, 2) Camarone con coco",10,"R",2010-10-01,3
"Zenkichi",,,,,,2010-10-01,3
"Zoma","Bib Gourmand","Cuts a particular cool, sophisticated figure with its sparse white interior and beautiful exotic relics.  The food is even classier.","1) Doro Wett",10,"R",2010-10-01,3
